"","source","dim","field","water","famly","species","type","prey_cellularity","vert","major_grouping_prey_1","major_grouping_prey_2","prey","prey_species","prey_type","data_type","replace_prey","starvation_time","temp","interference","preds_per_arena","arena_2d","arena_3d","pred_mass","pred_mass_source_code","pred_mass_reg_code","prey_mass","prey_mass_source_code","prey_mass_reg_code","a_units","mean_r2_of_fits","a","a_low","a_hi","h","h_low","h_hi","n_boots","notes_1","notes_2","alien","aspect_ratio","log_arena","log_pred","log_prey","log_a","log_h","log_se_a","log_se_h","duration","duration_notes","units","locale","country","country_notes","probable_duration","duration_sec","log_duration"
"224","Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES",3,NA,"Marine","Clupeiformes","Anchoa mitchilli","Larva E","Metazoan","Invertebrate","Crustacean","Copepod","Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus","Composed primarily of these 3 prey species","Mean","N",NA,26,NA,"12",NA,10000,0.1,"Original species mass",NA,3e-04,"Original species mass",NA,"m^3 per pred per day",0.97,0.00413,0.0036,0.00468,0.000826,0.000709,0.000984,200,NA,NA,"N",3.39229,9.21034037197618,-2.30258509299405,-8.11172808330807,-5.4894778720092,-7.0989157844433,-8.23578073197805,-9.74648380372646,1,"4-12 hours","mph","Florida","USA",NA,NA,60,4.0943445622221
"225","Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES",3,NA,"Marine","Perciformes","Archosargus rhomboidalis","Larva E","Metazoan","Invertebrate","Crustacean","Copepod","Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus","Composed primarily of these 3 prey species","Mean","N",NA,26,NA,"12",NA,10000,0.1,"Original species mass",NA,3e-04,"Original species mass",NA,"m^3 per pred per day",0.8,0.00312,0.00252,0.00372,0.0023,0.0019,0.00273,200,NA,NA,"N",2.34927,9.21034037197618,-2.30258509299405,-8.11172808330807,-5.76992227716075,-6.07484615604703,-8.11172808330807,-8.51719319141624,1,"4-12 hours","mph","Florida","USA",NA,NA,60,4.0943445622221
"226","Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES",3,NA,"Marine","Pleuronectiformes","Achirus lineatus","Larva E","Metazoan","Invertebrate","Crustacean","Copepod","Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus","Composed primarily of these 3 prey species","Mean","N",NA,28,NA,"12",NA,10000,0.1,"Original species mass",NA,3e-04,"Original species mass",NA,"m^3 per pred per day",0.96,0.00177,0.00148,0.00204,0.00154,0.00131,0.00186,200,NA,NA,"N",1.21399,9.21034037197618,-2.30258509299405,-8.11172808330807,-6.3367757323964,-6.4759728625566,-8.8387768155437,-9.07057842960102,1,"4-12 hours","mph","Florida","USA",NA,NA,60,4.0943445622221
"227","Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES",3,NA,"Marine","Clupeiformes","Anchoa mitchilli","Larva F","Metazoan","Invertebrate","Crustacean","Copepod","Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus","Composed primarily of these 3 prey species","Mean","N",NA,26,NA,"12",NA,10000,0.05,"Original species mass",NA,3e-04,"Original species mass",NA,"m^3 per pred per day",0.98,0.00427,0.00376,0.00493,0.000607,0.000508,0.000722,200,NA,NA,"N",3.39229,9.21034037197618,-2.99573227355399,-8.11172808330807,-5.4561414517416,-7.40698176690478,-8.27424701280585,-9.91353788838963,1,"4-12 hours","mph","Florida","USA",NA,NA,60,4.0943445622221
"228","Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES",3,NA,"Marine","Perciformes","Archosargus rhomboidalis","Larva F","Metazoan","Invertebrate","Crustacean","Copepod","Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus","Composed primarily of these 3 prey species","Mean","N",NA,26,NA,"12",NA,10000,0.05,"Original species mass",NA,3e-04,"Original species mass",NA,"m^3 per pred per day",0.92,0.00292,0.00237,0.00351,0.00156,0.00129,0.00192,200,NA,NA,"N",2.34927,9.21034037197618,-2.99573227355399,-8.11172808330807,-5.83617166270195,-6.46306945772069,-8.1987394602977,-8.91023577952584,1,"4-12 hours","mph","Florida","USA",NA,NA,60,4.0943445622221
"229","Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES",3,NA,"Marine","Pleuronectiformes","Achirus lineatus","Larva F","Metazoan","Invertebrate","Crustacean","Copepod","Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus","Composed primarily of these 3 prey species","Mean","N",NA,28,NA,"12",NA,10000,0.05,"Original species mass",NA,3e-04,"Original species mass",NA,"m^3 per pred per day",0.97,0.000897,0.000773,0.00103,0.00176,0.00132,0.00217,200,NA,NA,"N",1.21399,9.21034037197618,-2.99573227355399,-8.11172808330807,-7.01645469590548,-6.34244146993208,-9.68837617291918,-8.42188301161191,1,"4-12 hours","mph","Florida","USA",NA,NA,60,4.0943445622221
"230","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.98,15.5,15.5,15.5,1.58e-05,1.58e-05,1.58e-05,200,"Control/Experience with Bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,-0.452556715642015,2.7408400239252,-11.0555006179314,-Inf,-Inf,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"231","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.76,16.1,16.1,16.1,2.85e-05,2.85e-05,2.85e-05,200,"5 Bythotrephes cederstroemi present/avg length 10mm/adults/prior experience with bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,-0.452556715642015,2.77881927199042,-10.4656064706897,-Inf,-Inf,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"232","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Spiny water flea","Bythotrephes cederstroemi","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,5.18,"Original species length","Order","m^3 per pred per day",1,8.77,8.76,8.79,0.000139,0.000138,0.000139,200,"20, 40, 60 Daphnia pulicaria present/prior experience with Bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,1.64480505627139,2.17133680638409,-8.88103662483358,-5.29831736654806,-14.5086577385242,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"233","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.99,10.4,10.4,10.4,1.66e-05,1.66e-05,1.67e-05,200,"10 Bythotrephes cederstroemi present/avg length 10mm/adults/prior experience with bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,-0.452556715642015,2.34180580614733,-11.0061078626018,-Inf,-Inf,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"234","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Spiny water flea","Bythotrephes cederstroemi","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,5.18,"Original species length","Order","m^3 per pred per day",0.57,17.1,17,17.2,0.000498,0.000497,0.000498,200,"20, 40, 60 Daphnia pulicaria present/prior experience with Bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,1.64480505627139,2.83907846350861,-7.60491048093962,-2.99573227355398,-14.5086577385243,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"235","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",1,13,13,13.1,1.31e-05,1.31e-05,1.32e-05,200,"15 Bythotrephes cederstroemi present/avg length 10mm/adults/prior experience with bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,-0.452556715642015,2.56494935746154,-11.2428983277572,-Inf,-Inf,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"236","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Spiny water flea","Bythotrephes cederstroemi","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,5.18,"Original species length","Order","m^3 per pred per day",0.98,11.1,11,11.1,0.000442,0.000442,0.000443,200,"20, 40, 60 Daphnia pulicaria present/prior experience with Bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,1.64480505627139,2.40694510831829,-7.72420067588658,-2.99573227355399,-Inf,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"237","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.87,19.1,19.1,19.2,5.89e-05,5.88e-05,5.9e-05,200,"na?ve to Bythotrephes/control",NA,"Y",2.11091,9.90348755253613,8.34283980427146,-0.452556715642015,2.94968833505258,-9.73966946730673,-Inf,-16.8112428315182,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"238","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Large","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4800,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.98,15.5,15.5,15.5,5.07e-05,5.06e-05,5.07e-05,200,"na?ve to Bythotrephes/control",NA,"Y",2.11091,9.90348755253613,8.47637119689598,-0.452556715642015,2.7408400239252,-9.88958464736714,-Inf,-16.8112428315182,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"239","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Small","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4200,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.93,6.86,6.86,6.87,2.78e-05,2.77e-05,2.78e-05,200,"Consumption rate averaged over four densities of Bythotrephes (5, 10, 15, 20)/na?ve to Bythotrephes",NA,"Y",2.11091,9.90348755253613,8.34283980427146,-0.452556715642015,1.92570744173779,-10.4904745372677,-Inf,-16.8112428315182,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"240","Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH",3,NA,"Fresh","Salmoniformes","Salvelinus namaycush","<1 year old, Large","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia","Daphnia pulicaria","adult","Mean","N",24,11.5,NA,"1",NA,20000,4800,"Original species mass",NA,0.636,"Original species length","Order","m^3 per pred per day",0.97,4.5,4.5,4.5,6.15e-14,6.15e-14,6.15e-14,200,"Consumption rate averaged over four densities of Bythotrephes (5, 10, 15, 20)/na?ve to Bythotrephes",NA,"Y",2.11091,9.90348755253613,8.47637119689598,-0.452556715642015,1.50407739677627,-30.4197392200982,-Inf,-Inf,1,NA,"npp","Michigan","USA",NA,NA,60,4.0943445622221
"241","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Crangonyx richmondensis","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",5.2,"Original species mass",NA,"m^3 per pred per day",0.87,7.04,6.71,7.1,2.27e-05,1e-08,2.74e-05,200,"No substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,1.64865862558738,1.95160817016995,-10.6931456334769,-1.80180980508156,-11.3867334397325,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"242","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Crangonyx richmondensis","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",5.2,"Original species mass",NA,"m^3 per pred per day",0.91,5.28,4.59,7.2,1.24e-12,1.19e-12,0.000147,200,"6% of tank bottom covered with substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,1.64865862558738,1.66392609771817,-27.4159097363116,-1.06421086195078,-31.3199005700425,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"243","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Crangonyx richmondensis","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",5.2,"Original species mass",NA,"m^3 per pred per day",0.42,6.41,3.66,133,0.00046,5.12e-12,0.00111,200,"10% of tank bottom covered with substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,1.64865862558738,1.85785927093258,-7.68428406848113,0.318453731118535,-8.37743126017151,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"244","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Crangonyx richmondensis","juvenile","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",1,"Original species mass",NA,"m^3 per pred per day",0.91,3.13,2.73,7.3,2.9e-12,1.2e-12,0.000537,200,"10% of tank bottom covered with substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,0,1.14103300455206,-26.5663103789361,-1.6094379124341,-27.7935400454263,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"245","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Crangonyx richmondensis","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",5.2,"Original species mass",NA,"m^3 per pred per day",0.92,1.84,1.53,3.12,2.49e-11,1.19e-12,0.000818,200,"0.4-0.7 mm diameter litter to a depth of 4mm",NA,"Y",1.672955,12.3327052964635,10.5213722485955,1.64865862558738,0.609765571620894,-24.4161533124579,-1.86433016206289,-25.1582713964112,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"246","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Hyalella azteca","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",1,"Original species mass",NA,"m^3 per pred per day",1,6.36,6.19,6.59,3.08e-13,6.18e-14,2.19e-05,200,"No substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,0,1.85002837735203,-28.8086766119371,-2.46510402249182,-29.7257793617203,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"247","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Hyalella azteca","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",1,"Original species mass",NA,"m^3 per pred per day",0.99,5.2,5.03,5.8,1.03e-06,6.21e-14,6.98e-05,200,"6% of tank bottom covered with substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,0,1.64865862558738,-13.7859517557227,-2.46510402249182,-14.4790989965739,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"248","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Hyalella azteca","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",1,"Original species mass",NA,"m^3 per pred per day",0.95,4.03,3.58,4.58,1.24e-12,1.19e-12,3.65e-05,200,"10% of tank bottom covered with substrate",NA,"Y",1.672955,12.3327052964635,10.5213722485955,0,1.39376637595859,-27.4159097363116,-1.49165487677772,-31.3199005700425,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"249","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Hyalella azteca","adult","Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",1,"Original species mass",NA,"m^3 per pred per day",0.77,0.862,0.64,2.78,2.42e-11,2.21e-11,0.00401,200,"0.4-0.7 mm diameter litter to a depth of 4mm",NA,"Y",1.672955,12.3327052964635,10.5213722485955,0,-0.148500008318444,-24.4446684827659,-2.1982250776698,-27.5822309517591,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"250","Letcher et al 1997 CJFAS",3,NA,"Fresh","Perciformes","Perca fluviatilis","18 days old","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","Y",NA,22,NA,"10",NA,9000,10.5,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.73,0.00652,0.0052,0.00839,0.00186,0.00169,0.00207,200,NA,NA,"Y",1.397205,9.10497985631836,2.35137525716348,NA,-5.03288090304358,-6.28717879125703,-7.3232707229438,-9.37285930147396,1,NA,"npdpp","Wisconsin","USA",NA,NA,60,4.0943445622221
"251","Letcher et al 1997 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus hoyi","3 days old","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","Y",NA,22,NA,"10",NA,9000,14.5,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.61,0.00306,0.00201,0.00484,0.000819,0.000557,0.00108,200,NA,NA,"N",5.41623,9.10497985631836,2.67414864942653,NA,-5.78934036301785,-7.1074264741112,-7.55211229537265,-8.94031323476312,1,NA,"npdpp","Wisconsin","USA",NA,NA,60,4.0943445622221
"252","Letcher et al 1997 CJFAS",3,NA,"Fresh","Clupeiformes","Alosa pseudoharengus","13 days old","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","Y",NA,22,NA,"10",NA,9000,14.2,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.59,0.00276,0.00224,0.00379,0.00111,0.00083,0.00146,200,NA,NA,"N",1.831456667,9.10497985631836,2.65324196460721,NA,-5.89252459925308,-6.80339526365789,-8.25482892694875,-8.87386813535497,1,NA,"npdpp","Wisconsin","USA",NA,NA,60,4.0943445622221
"253","Letcher et al 1997 CJFAS",3,NA,"Fresh","Perciformes","Perca fluviatilis","41 days old","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","Y",NA,22,NA,"5",NA,9000,72.3,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.72,0.0251,0.0217,0.0298,0.000377,0.000346,0.000417,200,NA,NA,"Y",1.397205,9.10497985631836,4.28082412916472,NA,-3.6848874328444,-7.88326537051626,-6.37712702791997,-11.0746705340391,1,NA,"npdpp","Wisconsin","USA",NA,NA,60,4.0943445622221
"254","Letcher et al 1997 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus hoyi","28 days old","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","Y",NA,22,NA,"5",NA,9000,102,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.68,0.0209,0.017,0.0259,0.000618,0.000565,0.000677,200,NA,NA,"N",5.41623,9.10497985631836,4.62497281328427,NA,-3.86800612001137,-7.38902210050658,-6.23992590640648,-10.5383658249721,1,NA,"npdpp","Wisconsin","USA",NA,NA,60,4.0943445622221
"255","Letcher et al 1997 CJFAS",3,NA,"Fresh","Clupeiformes","Alosa pseudoharengus","28 days old","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","Y",NA,22,NA,"5",NA,9000,100,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.71,0.0175,0.0145,0.0232,0.000845,0.000785,0.000927,200,NA,NA,"N",1.831456667,9.10497985631836,4.60517018598809,NA,-4.04555439805267,-7.0761739306071,-6.50229017087397,-10.4143131763021,1,NA,"npdpp","Wisconsin","USA",NA,NA,60,4.0943445622221
"256","Czesny et al 2001 CANADIAN JOURNAL OF ZOOLOGY",3,NA,"Fresh","Perciformes","Sander vitreus","Young of the year","Metazoan","Vertebrate","Fish","Cyprinidae","Carp","Cyprinus carpio","Larva","Mean","N",12,NA,NA,"1",NA,30000,142,"Original species length","Species",1.89,"Original speices mass",NA,"m^3 per pred per day",0.44,6.92,5.21,9.61,0.000469,0.000423,0.000514,200,NA,NA,"Y",1.29389,10.3089526606443,4.95582705760126,0.636576829071551,1.93441576962958,-7.66490778951799,-0.156653810045377,-10.6800163420351,1,NA,"n","Ohio","USA",NA,NA,60,4.0943445622221
"257","Czesny et al 2001 CANADIAN JOURNAL OF ZOOLOGY",3,NA,"Fresh","Perciformes","Sander vitreus","Young of the year","Metazoan","Vertebrate","Fish","Cyprinidae","Carp","Cyprinus carpio","Larva","Mean","N",12,NA,NA,"1",NA,30000,142,"Original species length","Species",1.89,"Original speices mass",NA,"m^3 per pred per day",0.63,1.75,0.939,3.1,0.000609,0.000381,0.000746,200,"Daphnia pulex present at a density of 30 individuals per Liter (900 individuals per tank)",NA,"Y",1.29389,10.3089526606443,4.95582705760126,0.636576829071551,0.559615787935423,-7.40369229025438,-0.902634405426669,-9.07931210956978,1,NA,"n","Ohio","USA",NA,NA,60,4.0943445622221
"258","Munk and Ki?rboe 1985 MARINE ECOLOGY PROGRESS SERIES",3,NA,"Marine","Clupeiformes","Clupea harengus","Juvenile, Small","Metazoan","Invertebrate","Crustacean","Copepod","Marine copepod","Acartia tonsa","6 days old/Stage 3-5","Mean","Y",NA,8.3,NA,"9 pred per tank at 7.5 and 15 prey per liter, 12 pred per tank at 30 and 60 prey per liter, 21 pred per tank at 120 and 360 prey per liter",NA,172000,8.61,"Original species length","Species",0.00017,"Original speices mass",NA,"m^3 per pred per day",0.07,0.293,0.207,0.42,0.00076,0.000684,0.00083,200,NA,NA,"N",2.12862,12.0552497557956,2.15292431843964,-8.67971212091401,-1.22758266996507,-7.1821921246839,-3.14655516328857,-10.1779243982379,1,NA,"npm","Baltic Sea/Downs","Denmark",NA,NA,60,4.0943445622221
"259","Munk and Ki?rboe 1985 MARINE ECOLOGY PROGRESS SERIES",3,NA,"Marine","Clupeiformes","Clupea harengus","Juvenile, Medium","Metazoan","Invertebrate","Crustacean","Copepod","Marine copepod","Acartia tonsa","6 days old/Stage 3-5","Mean","Y",NA,8.3,NA,"9 pred per tank at 7.5 and 15 prey per liter, 12 pred per tank at 30 and 60 prey per liter, 21 pred per tank at 120 and 360 prey per liter",NA,172000,10.1,"Original species length","Species",0.00017,"Original speices mass",NA,"m^3 per pred per day",0.11,0.314,0.252,0.39,0.000666,0.000622,0.00071,200,NA,NA,"N",2.12862,12.0552497557956,2.31253542384721,-8.67971212091401,-1.15836229307388,-7.31422088742389,-3.47376807449699,-10.724468104606,1,NA,"npm","Baltic Sea/Downs","Denmark",NA,NA,60,4.0943445622221
"260","Munk and Ki?rboe 1985 MARINE ECOLOGY PROGRESS SERIES",3,NA,"Marine","Clupeiformes","Clupea harengus","Juvenile, Large","Metazoan","Invertebrate","Crustacean","Copepod","Marine copepod","Acartia tonsa","6 days old/Stage 3-5","Mean","Y",NA,8.3,NA,"9",NA,172000,12.1,"Original species length","Species",0.00017,"Original speices mass",NA,"m^3 per pred per day",0.05,0.293,0.152,1.99,0.00132,0.00091,0.00178,200,NA,NA,"N",2.12862,12.0552497557956,2.4932054526027,-8.67971212091401,-1.22758266996507,-6.63012354238386,-2.65214256916391,-8.49250057882587,1,NA,"npm","Baltic Sea/Downs","Denmark",NA,NA,60,4.0943445622221
"261","Cowan et al 2016 CORAL REEFS",3,NA,"Marine","Perciformes","Acanthochromis polyacanthus","Wild caught","Metazoan","Invertebrate","Echinoderm",NA,"Crown of Thorns Starfish","Acanthaster spp.","Bipinnaria Stage larvae","Mean","N",24,27.1,NA,"1",NA,10000,19100,"Original species mass",NA,NA,NA,NA,"m^3 per pred per day",0.47,0.131,0.102,0.209,4.94e-10,2.37e-11,0.000483,200,NA,NA,"N",1.84706,9.21034037197618,9.85744361403472,NA,-2.03255795578099,-21.4284855987406,-4.23360662955561,-22.1707975075375,1,NA,"n","Great Barrier Reef","Australia",NA,NA,60,4.0943445622221
"262","Cowan et al 2016 CORAL REEFS",3,NA,"Marine","Perciformes","Abudefduf sexfasciatus","Wild caught","Metazoan","Invertebrate","Echinoderm",NA,"Crown of Thorns Starfish","Acanthaster spp.","Bipinnaria Stage larvae","Mean","N",24,27.1,NA,"1",NA,10000,35600,"Original species mass",NA,NA,NA,NA,"m^3 per pred per day",0.56,0.459,0.258,0.706,0.000632,0.000318,0.000927,200,NA,NA,"N",2.45467,9.21034037197618,10.4801009168401,NA,-0.778705068921592,-7.36662116381742,-2.29759755148301,-8.75926475261597,1,NA,"n","Great Barrier Reef","Australia",NA,NA,60,4.0943445622221
"263","Cowan et al 2016 CORAL REEFS",3,NA,"Marine","Perciformes","Chromis atripectoralis","Wild caught","Metazoan","Invertebrate","Echinoderm",NA,"Crown of Thorns Starfish","Acanthaster spp.","Bipinnaria Stage larvae","Mean","N",24,27.1,NA,"1",NA,10000,5630,"Original species mass",NA,NA,NA,NA,"m^3 per pred per day",0.49,0.177,0.087,0.352,0.00128,8.62e-05,0.00222,200,NA,NA,"N",2.2614,9.21034037197618,8.63586472113374,NA,-1.73160554640831,-6.66089520105061,-3.10109278921182,-7.42376096278967,1,NA,"n","Great Barrier Reef","Australia",NA,NA,60,4.0943445622221
